Run for getting all meetup cities in USA
Cities: request string:  <Response [200]>
length of response:  2
New York,NY,us,10001
Chicago,IL,us,60290
San Diego,CA,us,92101
Washington,DC,us,20001
Los Angeles,CA,us,90001
Houston,TX,us,77001
Atlanta,GA,us,30301
San Francisco,CA,us,94101
Seattle,WA,us,98101
Austin,TX,us,73301
Philadelphia,PA,us,19019
Denver,CO,us,80201
Dallas,TX,us,75201
Portland,OR,us,97201
Boston,MA,us,02108
Raleigh,NC,us,27601
Brooklyn,NY,us,11201
Orlando,FL,us,32801
Phoenix,AZ,us,85001
Las Vegas,NV,us,89101
Minneapolis,MN,us,55401
Charlotte,NC,us,28201
Sacramento,CA,us,94203
San Antonio,TX,us,78201
Tampa,FL,us,33601
Fort Lauderdale,FL,us,33301
San Jose,CA,us,95101
Saint Louis,MO,us,63101
Miami,FL,us,33101
Pittsburgh,PA,us,15201
Baltimore,MD,us,21201
Jacksonville,FL,us,32099
Richmond,VA,us,23218
Tucson,AZ,us,85701
Columbus,OH,us,43085
Nashville,TN,us,37201
Cincinnati,OH,us,45201
Indianapolis,IN,us,46201
Kansas City,MO,us,64101
Arlington,VA,us,22201
Santa Monica,CA,us,90401
Fort Worth,TX,us,76101
Saint Paul,MN,us,55101
Cleveland,OH,us,44101
Irvine,CA,us,92602
Oakland,CA,us,94601
Milwaukee,WI,us,53201
Colorado Springs,CO,us,80901
Rochester,NY,us,14602
Fairfax,VA,us,22030
Albuquerque,NM,us,87101
Long Beach,CA,us,90801
Virginia Beach,VA,us,23450
Scottsdale,AZ,us,85250
Alexandria,VA,us,22301
Salt Lake City,UT,us,84101
Boulder,CO,us,80301
Anaheim,CA,us,92801
Detroit,MI,us,48201
Louisville,KY,us,40201
Marietta,GA,us,30006
Plano,TX,us,75023
West Palm Beach,FL,us,33401
New Orleans,LA,us,70112
Saint Petersburg,FL,us,33701
Cambridge,MA,us,02138
Buffalo,NY,us,14201
Albany,NY,us,12201
Madison,WI,us,53701
Greensboro,NC,us,27395
Knoxville,TN,us,37901
Littleton,CO,us,80120
Bellevue,WA,us,98004
Cary,NC,us,27511
Oklahoma City,OK,us,73101
Ann Arbor,MI,us,48103
Norfolk,VA,us,23501
Rockville,MD,us,20847
Bronx,NY,us,10451
Durham,NC,us,27701
Mesa,AZ,us,85201
Arlington,TX,us,76001
Riverside,CA,us,92501
Tacoma,WA,us,98401
Fort Collins,CO,us,80521
Tulsa,OK,us,74101
Omaha,NE,us,68101
Pasadena,CA,us,91101
Sarasota,FL,us,34230
Providence,RI,us,02901
Greenville,SC,us,29601
Memphis,TN,us,37501
Stamford,CT,us,06901
Gilbert,AZ,us,85233
White Plains,NY,us,10601
Hollywood,FL,us,33019
Schaumburg,IL,us,60159
Silver Spring,MD,us,20901
Chandler,AZ,us,85224
Tempe,AZ,us,85280
Tallahassee,FL,us,32301
Birmingham,AL,us,35201
Fresno,CA,us,93650
Palo Alto,CA,us,94301
Wilmington,NC,us,28401
Boise,ID,us,83701
Charleston,SC,us,29401
Boca Raton,FL,us,33427
Jersey City,NJ,us,07097
Alpharetta,GA,us,30004
New Haven,CT,us,06501
Berkeley,CA,us,94701
Syracuse,NY,us,13201
Mountain View,CA,us,94035
Lexington,KY,us,40502
Huntington,NY,us,11743
Grand Rapids,MI,us,49501
Anchorage,AK,us,99501
Asheville,NC,us,28801
Huntington Beach,CA,us,92605
Bakersfield,CA,us,93301
Henderson,NV,us,89002
Columbia,SC,us,29201
Escondido,CA,us,92025
Fort Myers,FL,us,33900
Honolulu,HI,us,96801
Hialeah,FL,us,33002
Pompano Beach,FL,us,33060
Palmdale,CA,us,93550
Reno,NV,us,89501
Astoria,NY,us,11102
Fayetteville,NC,us,28301
Newark,NJ,us,07101
Hartford,CT,us,06101
Gainesville,FL,us,32601
Baton Rouge,LA,us,70801
Santa Cruz,CA,us,95060
Staten Island,NY,us,10301
Everett,WA,us,98201
Ridgewood,NJ,us,07450
Santa Rosa,CA,us,95401
Portland,ME,us,04101
Spring,TX,us,77373
Trenton,NJ,us,08601
Des Moines,IA,us,50301
Wichita,KS,us,67201
Sunnyvale,CA,us,94085
Walnut Creek,CA,us,94595
Worcester,MA,us,01601
Aurora,CO,us,80010
Harrisburg,PA,us,17101
Akron,OH,us,44301
Vancouver,WA,us,98660
Spokane,WA,us,99201
Naperville,IL,us,60540
Allentown,PA,us,18101
Ventura,CA,us,93001
Torrance,CA,us,90501
Huntsville,AL,us,35801
Carlsbad,CA,us,92008
Beaverton,OR,us,97005
Naples,FL,us,34101
Dayton,OH,us,45400
Frisco,TX,us,75034
Olympia,WA,us,98501
Newport Beach,CA,us,92658
Savannah,GA,us,31401
Oceanside,CA,us,92049
Reston,VA,us,20190
Pensacola,FL,us,32501
Manchester,NH,us,03101
Somerville,MA,us,02143
Fremont,CA,us,94536
Charlottesville,VA,us,22901
Toledo,OH,us,43601
Wilmington,DE,us,19801
Eugene,OR,us,97401
Renton,WA,us,98055
Santa Barbara,CA,us,93101
McKinney,TX,us,75069
Clearwater,FL,us,33755
Costa Mesa,CA,us,92626
Melbourne,FL,us,32901
Miami Beach,FL,us,33109
New Brunswick,NJ,us,08901
Chattanooga,TN,us,37401
Columbia,MD,us,21044
Lansing,MI,us,48901
Poughkeepsie,NY,us,12601
Roanoke,VA,us,24001
Beverly Hills,CA,us,90209
Irving,TX,us,75014
Katy,TX,us,77449
San Mateo,CA,us,94401
Lancaster,PA,us,17573
Cherry Hill,NJ,us,08002
Santa Clara,CA,us,95050
Overland Park,KS,us,66204
Glendale,AZ,us,85301
Roseville,CA,us,95661
Cities: request string:  <Response [200]>
length of response:  2
Chapel Hill,NC,us,27514
San Bernardino,CA,us,92401
Falls Church,VA,us,22040
Modesto,CA,us,95350
Salem,OR,us,97301
Fort Wayne,IN,us,46801
Decatur,GA,us,30030
Woodbridge,VA,us,22191
Orange,CA,us,92856
Lawrenceville,GA,us,30042
Round Rock,TX,us,78664
Denton,TX,us,76201
Temecula,CA,us,92589
Redmond,WA,us,98052
Chesapeake,VA,us,23320
Winston Salem,NC,us,27101
Lakeland,FL,us,33801
Kirkland,WA,us,98033
San Rafael,CA,us,94901
Aurora,IL,us,60502
Burlington,VT,us,05401
Lowell,MA,us,01850
Little Rock,AR,us,72201
Lakewood,NJ,us,08701
Augusta,GA,us,30901
Stockton,CA,us,95201
Kalamazoo,MI,us,49001
Redondo Beach,CA,us,90277
Roswell,GA,us,30075
Bethesda,MD,us,20810
Hoboken,NJ,us,07030
Bellingham,WA,us,98225
Fredericksburg,VA,us,22401
Richardson,TX,us,75080
Santa Fe,NM,us,87501
Sherman Oaks,CA,us,91403
Manassas,VA,us,20108
Lake Worth,FL,us,33449
Englewood,CO,us,80110
Marlborough,MA,us,01752
Burbank,CA,us,91501
Brookline,MA,us,02445
Nashua,NH,us,03060
Springfield,MA,us,01101
North Hollywood,CA,us,91601
Ashburn,VA,us,20146
Rancho Cucamonga,CA,us,91701
Elk Grove,CA,us,95624
Herndon,VA,us,20170
Springfield,MO,us,65801
Carol Stream,IL,us,60116
Gaithersburg,MD,us,20877
Carrollton,TX,us,75006
Corona,CA,us,92877
Peoria,IL,us,61601
Murrieta,CA,us,92562
Chula Vista,CA,us,91909
Daytona Beach,FL,us,32114
El Paso,TX,us,79901
Fullerton,CA,us,92831
Evanston,IL,us,60201
Ocala,FL,us,34470
Frederick,MD,us,21701
Santa Ana,CA,us,92701
Garland,TX,us,75040
Athens,GA,us,30601
Gainesville,GA,us,30501
Port Saint Lucie,FL,us,34952
Norwalk,CT,us,06850
Kissimmee,FL,us,34741
Lewisville,TX,us,75029
Folsom,CA,us,95630
Delray Beach,FL,us,33444
Winter Park,FL,us,32789
Yonkers,NY,us,10701
Lubbock,TX,us,79401
Dublin,OH,us,43016
San Marino,CA,us,91108
York,PA,us,17401
Annapolis,MD,us,21401
Reading,PA,us,19601
Lincoln,NE,us,68501
Green Bay,WI,us,54301
Bremerton,WA,us,98310
Bloomington,IN,us,47401
Rockford,IL,us,61101
Shreveport,LA,us,71101
Bothell,WA,us,98011
Columbia,MO,us,65201
Kennesaw,GA,us,30144
Union City,OH,us,45390
Smyrna,GA,us,30080
Lafayette,LA,us,70500
San Carlos,CA,us,94070
Leesburg,VA,us,20175
Waltham,MA,us,02451
Mobile,AL,us,36601
San Marcos,CA,us,92069
Glendale,CA,us,91201
Newport News,VA,us,23601
Peoria,AZ,us,85345
Bend,OR,us,97701
Allen,TX,us,75002
Schenectady,NY,us,12301
Longmont,CO,us,80501
Myrtle Beach,SC,us,29572
Pearland,TX,us,77581
Forest Hills,NY,us,11375
Champaign,IL,us,61820
Fayetteville,AR,us,72701
Sterling,VA,us,20163
Scranton,PA,us,18501
Redwood City,CA,us,94061
Mission Viejo,CA,us,92690
Murfreesboro,TN,us,37127
Bradenton,FL,us,34201
Brandon,FL,us,33508
Altamonte Springs,FL,us,32701
Portsmouth,NH,us,03801
Duluth,GA,us,30095
Manhasset,NY,us,11030
Apex,NC,us,27502
Surprise,AZ,us,85374
Aliso Viejo,CA,us,92656
Redding,CA,us,96001
Encinitas,CA,us,92023
Springfield,VA,us,22150
Ithaca,NY,us,14850
Edison,NJ,us,08817
Boynton Beach,FL,us,33424
Killeen,TX,us,76540
North Las Vegas,NV,us,89030
Diamond Bar,CA,us,91765
Jacksonville,NC,us,28540
Vienna,VA,us,22180
Cedar Park,TX,us,78613
Broomfield,CO,us,80020
Lawrence,KS,us,66044
Brighton,MA,us,02135
Royal Oak,MI,us,48067
Montclair,NJ,us,07042
Jamaica Plain,MA,us,02130
El Cajon,CA,us,92019
Erie,PA,us,16501
South Bend,IN,us,46601
Evansville,IN,us,47701
Columbus,GA,us,31901
Van Nuys,CA,us,91388
Iowa City,IA,us,52240
Hampton,VA,us,23630
Joliet,IL,us,60431
Mc Lean,VA,us,22101
Woodland Hills,CA,us,91364
Springfield,IL,us,62701
Kent,WA,us,98030
Sugar Land,TX,us,77478
Puyallup,WA,us,98371
Arlington,MA,us,02474
Oak Park,IL,us,60301
Tustin,CA,us,92780
Cape Coral,FL,us,33904
Flushing,NY,us,11351
Canton,OH,us,44701
West Chester,PA,us,19380
Panama City,FL,us,32401
West Hollywood,CA,us,90069
Concord,CA,us,94518
Topeka,KS,us,66601
Centreville,VA,us,20120
Alameda,CA,us,94501
Queen Creek,AZ,us,85142
La Jolla,CA,us,92037
San Luis Obispo,CA,us,93401
Woodstock,GA,us,30188
Clarksville,TN,us,37040
Venice,CA,us,90291
Bloomington,IL,us,61701
Citrus Heights,CA,us,95610
Palm Harbor,FL,us,34682
Medford,OR,us,97501
Vista,CA,us,92081
Flint,MI,us,48501
Chico,CA,us,95926
Addison,TX,us,75001
Germantown,MD,us,20874
Marina del Rey,CA,us,90292
Issaquah,WA,us,98027
Olathe,KS,us,66051
Cupertino,CA,us,95014
Redlands,CA,us,92373
Hagerstown,MD,us,21740
Davenport,IA,us,52801
Quincy,MA,us,02169
Campbell,CA,us,95008
Princeton,NJ,us,08540
Palm Beach Gardens,FL,us,33410
Corpus Christi,TX,us,78401
Greenville,NC,us,27833
Midlothian,VA,us,23112
Parker,CO,us,80134
Cities: request string:  <Response [200]>
length of response:  2
Arlington Heights,IL,us,60004
Hillsboro,OR,us,97123
Keller,TX,us,76244
Hayward,CA,us,94540
Cumming,GA,us,30028
Montgomery,AL,us,36101
Culver City,CA,us,90230
Ellicott City,MD,us,21041
Franklin,TN,us,37064
Macon,GA,us,31201
Jamaica,NY,us,11405
San Ramon,CA,us,94582
Salinas,CA,us,93901
Lynnwood,WA,us,98036
Amarillo,TX,us,79101
Simi Valley,CA,us,93062
Arvada,CO,us,80001
Tyler,TX,us,75701
Flower Mound,TX,us,75022
Temple,TX,us,76501
Thousand Oaks,CA,us,91358
Youngstown,OH,us,44501
